Category_ID,Category_Name,Department_Name,Super_Category,Category_Level,Tax_Hsn_Code,Is_Taxable,Category_Status,Created_By,Internal_Notes,Subcategory_ID,Subcategory_Name
C001,Electronics,Electronics & Appliances,Technology,Level-1,8517,True,Active,admin@myecommerce.com,Top-level category for all consumer electronics including gadgets and devices,101; 102; 103; 104; 105; 106; 107; 108; 109,LED TV; OLED TV; QLED TV; Smart TV; 4K Monitor; Gaming Monitor; Ultrawide Monitor; Portable Projector; Home Theatre Projector
C002,Smartphones,Electronics & Appliances,Technology,Level-2,8517,True,Active,admin@myecommerce.com,Includes Android and iOS smartphones from all major brands,111; 112; 113; 114; 115; 116,Android Smartphones; iOS iPhones; Budget Smartphones; Flagship Smartphones; Foldable Phones; Rugged Phones
C003,Laptops,Electronics & Appliances,Technology,Level-2,8471,True,Active,admin@myecommerce.com,"Covers personal computers, ultrabooks, gaming laptops, and 2-in-1 devices",121; 122; 123; 124; 125; 126; 127,Gaming Laptops; Ultrabooks; Business Laptops; 2-in-1 Laptops; Workstation Laptops; Budget Laptops; MacBooks
C004,Tablets,Electronics & Appliances,Technology,Level-2,8471,True,Active,admin@myecommerce.com,"Includes Android tablets, iPads, and e-readers",131; 132; 133; 134; 135,Android Tablets; iPads; Windows Tablets; E-Readers; Kids Tablets
C005,Audio Equipment,Electronics & Appliances,Technology,Level-2,8518,True,Active,admin@myecommerce.com,"Headphones, speakers, soundbars, earbuds, and home audio systems",141; 142; 143; 144; 145; 146,Over-Ear Headphones; In-Ear Earbuds; Wireless Speakers; Soundbars; Home Theatre Audio; Studio Monitors
C006,Cameras,Electronics & Appliances,Technology,Level-2,8525,True,Active,admin@myecommerce.com,"Digital cameras, DSLRs, mirrorless cameras, and accessories",151; 152; 153; 154; 155; 156,DSLR Cameras; Mirrorless Cameras; Point & Shoot; Action Cameras; Instant Cameras; Camera Accessories
C007,Gaming Consoles,Electronics & Appliances,Technology,Level-2,9504,True,Active,admin@myecommerce.com,"PlayStation, Xbox, Nintendo consoles and controllers",161; 162; 163; 164; 165; 166; 167,PlayStation Consoles; Xbox Consoles; Nintendo Consoles; PC Gaming; Handheld Gaming; Gaming Controllers; Gaming Accessories
C008,Smart Home,Electronics & Appliances,Technology,Level-2,8517,True,Active,admin@myecommerce.com,"Smart speakers, IoT devices, home automation products",171; 172; 173; 174; 175; 176,Smart Speakers; Smart Displays; Smart Lighting; Smart Security; Smart Plugs & Switches; Home Automation
C009,Fashion,Fashion & Apparel,Apparel,Level-1,6200,True,Active,admin@myecommerce.com,"Top-level category for all clothing, footwear, and fashion accessories",181; 182; 183; 184,Mens Fashion; Womens Fashion; Kids Fashion; Unisex Fashion
C010,Men's Clothing,Fashion & Apparel,Apparel,Level-2,6203,True,Active,admin@myecommerce.com,"Men's formal, casual, ethnic, and sportswear",191; 192; 193; 194; 195,Mens Formal Wear; Mens Casual Wear; Mens Ethnic Wear; Mens Innerwear; Mens Jackets & Coats
